Rank,Team,Conf,Record,Conf Record,Rk Points
1,Gonzaga,WCC,24 - 0,15 - 0,25.73
2,Baylor,BIG12,21 - 1,13 - 1,23.46
3,Michigan,Big10,19 - 3,14 - 3,21.79
4,Houston,Amer,21 - 3,14 - 3,20.81
5,Illinois,Big10,20 - 6,16 - 4,20.19
6,Alabama,SEC,21 - 6,16 - 2,19.13
7,Iowa,Big10,20 - 7,14 - 6,18.93
8,Arkansas,SEC,21 - 5,13 - 4,18.08
9,Villanova,BE,16 - 5,11 - 4,16.94
10,Ohio State,Big10,18 - 8,12 - 8,16.84
11,Southern California,PAC12,21 - 6,15 - 5,16.82
12,Kansas,BIG12,19 - 8,12 - 6,16.59
13,Colgate,PAT,12 - 1,11 - 1,16.42
14,Purdue,Big10,18 - 8,13 - 6,16.32
15,Brigham Young,WCC,19 - 5,10 - 3,16.26
16,San Diego State,MWC,20 - 4,14 - 3,16.21
17,Virginia,ACC,17 - 6,13 - 4,16.18
18,Colorado,PAC12,20 - 7,14 - 6,16.12
19,Florida State,ACC,15 - 5,11 - 4,16.05
20,West Virginia,BIG12,18 - 8,11 - 6,15.9
21,Tennessee,SEC,17 - 7,10 - 7,15.73
22,Texas Tech,BIG12,17 - 9,9 - 8,15.23
23,Loyola Ill,MVC,24 - 4,16 - 2,15.21
24,Texas,BIG12,17 - 7,11 - 6,15.06
25,Creighton,BE,18 - 7,14 - 6,15.03
26,Oregon,PAC12,19 - 5,14 - 4,14.96
27,Saint Bonaventure,A10,15 - 4,11 - 4,14.95
28,Oklahoma State,BIG12,18 - 7,11 - 7,14.88
29,Louisiana State,SEC,16 - 8,11 - 6,14.67
30,Connecticut,BE,14 - 6,11 - 6,14.35
31,Florida,SEC,13 - 8,9 - 7,13.99
32,Wisconsin,Big10,16 - 11,10 - 10,13.8
33,North Carolina,ACC,16 - 9,10 - 6,13.73
34,Clemson,ACC,16 - 6,10 - 6,13.17
35,Virginia Commonwealth,A10,19 - 6,10 - 4,13.11
36,Memphis,Amer,15 - 7,11 - 4,12.94
37,Georgia Tech,ACC,15 - 8,11 - 6,12.81
38,Wichita State,Amer,15 - 4,11 - 2,12.67
39,Oklahoma,BIG12,14 - 9,9 - 8,12.44
40,Utah State,MWC,18 - 7,15 - 4,12.3
41,Virginia Tech,ACC,15 - 5,9 - 4,12.14
42,UCLA,PAC12,17 - 8,13 - 6,11.87
43,Missouri,SEC,15 - 8,8 - 8,11.68
44,Maryland,Big10,15 - 12,9 - 11,11.65
45,Arizona,PAC12,17 - 9,11 - 9,11.58
46,Syracuse,ACC,15 - 8,9 - 7,11.2
47,Southern Methodist,Amer,11 - 4,7 - 4,11.13
48,Rutgers,Big10,14 - 10,10 - 10,11.04
49,Louisville,ACC,13 - 6,8 - 5,11.01
