TeamName,TeamID
WesternKentucky,1443
a&m-corpus chris,1394
abilene chr,1101
abilene christian,1101
AbileneChristian,1101
abilene-christian,1101
air force,1102
AirForce,1102
air-force,1102
akron,1103
alabama,1104
alabama a&m,1105
alabama st,1106
alabama st.,1106
alabama state,1106
AlabamaA&M,1105
alabama-am,1105
alabama-birmingham,1412
AlabamaState,1106
alabama-state,1106
albany,1107
albany (ny),1107
albany ny,1107
AlbanyNY,1107
albany-ny,1107
alcorn,1108
alcorn st,1108
alcorn st.,1108
alcorn state,1108
AlcornState,1108
alcorn-state,1108
alliant international,1109
alliant intl,1109
american,1110
american u.,1110
american univ,1110
american university,1110
american-university,1110
appalachian st,1111
appalachian st.,1111
appalachian state,1111
AppalachianSt,1111
appalachian-state,1111
arizona,1112
arizona st,1113
arizona st.,1113
arizona state,1113
ArizonaState,1113
arizona-state,1113
ark little rock,1114
ark pine bluff,1115
ark.-pine bluff,1115
arkansas,1116
arkansas little rock,1114
arkansas pine bluff,1115
arkansas st,1117
arkansas st.,1117
arkansas state,1117
arkansas-little rock,1114
arkansas-little-rock,1114
ArkansasLR,1114
arkansas-pine bluff,1115
arkansas-pine-bluff,1115
ArkansasState,1117
arkansas-state,1117
ArkPineBluff,1115
armstrong,1118
armstrong st,1118
army,1119
auburn,1120
augusta,1121
augusta state,1121
austin peay,1122
AustinPeay,1122
austin-peay,1122
bakersfield,1167
ball st,1123
ball st.,1123
ball state,1123
BallState,1123
ball-state,1123
baylor,1124
belmont,1125
bethune cookman,1126
BethuneCookman,1126
bethune-cookman,1126
binghamton,1127
birmingham so,1128
birmingham southern,1128
birmingham-southern,1128
boise st,1129
boise st.,1129
boise state,1129
BoiseState,1129
boise-state,1129
boston,1131
boston college,1130
boston u,1131
boston u.,1131
boston univ,1131
boston university,1131
BostonCollege,1130
boston-college,1130
BostonU,1131
boston-university,1131
bowling green,1132
bowling green state,1132
BowlingGreen,1132
bowling-green,1132
bowling-green-state,1132
bradley,1133
brigham young,1140
brigham-young,1140
brooklyn,1134
brown,1135
bryant,1136
bryant university,1136
bucknell,1137
buffalo,1138
butler,1139
byu,1140
c michigan,1141
cal poly,1142
cal poly slo,1142
cal riverside,1415
cal st. bakersfield,1167
cal st. fullerton,1168
cal st. northridge,1169
cal state bakersfield,1167
cal state fullerton,1168
cal state northridge,1169
cal. state - bakersfield,1167
california,1143
california-davis,1413
california-irvine,1414
california-riverside,1415
california-santa barbara,1364
california-santa-barbara,1364
CalIrvine,1414
cal-poly,1142
CalPolySLO,1142
CalRiverside,1415
CalSantaBarb,1364
CalSantaBarbara,1364
cal-state-bakersfield,1167
cal-state-fullerton,1168
cal-state-northridge,1169
campbell,1144
canisius,1145
cent arkansas,1146
centenary,1147
centenary (la),1147
central ark.,1146
central arkansas,1146
central conn,1148
central conn. st.,1148
central connecticut,1148
central connecticut state,1148
central florida,1416
central florida(ucf),1416
central mich.,1141
central michigan,1141
CentralArkansas,1146
central-arkansas,1146
CentralConn,1148
central-connecticut-state,1148
CentralFlorida,1416
central-florida,1416
CentralMichigan,1141
central-michigan,1141
charleston,1158
charleston so,1149
charleston so.,1149
charleston southern,1149
CharlestonSou,1149
charleston-southern,1149
charlotte,1150
CharlotteU,1150
chattanooga,1151
chicago st,1152
chicago st.,1152
chicago state,1152
ChicagoSt,1152
ChicagoSt.,1152
chicago-state,1152
cincinnati,1153
citadel,1154
clemson,1155
cleveland st,1156
cleveland st.,1156
cleveland state,1156
ClevelandState,1156
cleveland-state,1156
coastal car,1157
coastal caro.,1157
coastal carolina,1157
CoastalCarolina,1157
coastal-carolina,1157
col charleston,1158
col. of charleston,1158
colgate,1159
CollCharleston,1158
college of charlesto,1158
college of charleston,1158
college-of-charleston,1158
colorado,1160
colorado st,1161
colorado st.,1161
colorado state,1161
ColoradoState,1161
colorado-state,1161
columbia,1162
connecticut,1163
coppin st,1164
coppin st.,1164
coppin state,1164
CoppinSt.,1164
CoppinState,1164
coppin-state,1164
cornell,1165
creighton,1166
cs bakersfield,1167
cs fullerton,1168
cs northridge,1169
cs sacramento,1170
CSBakersfield,1167
CSFullerton,1168
CSNorthridge,1169
csu northridge,1169
dartmouth,1171
davidson,1172
dayton,1173
delaware,1174
delaware st,1175
delaware st.,1175
delaware state,1175
DelawareState,1175
delaware-state,1175
denver,1176
DenverU,1176
depaul,1177
detroit,1178
detroit mercy,1178
detroit-mercy,1178
DetroitU,1178
drake,1179
drexel,1180
duke,1181
duquesne,1182
e illinois,1183
e kentucky,1184
e michigan,1185
e washington,1186
E.Washington,1186
east carolina,1187
east tenn. st.,1190
east tennessee st.,1190
east tennessee state,1190
EastCarolina,1187
east-carolina,1187
eastern ill.,1183
eastern illinois,1183
eastern kentucky,1184
eastern ky.,1184
eastern mich.,1185
eastern michigan,1185
eastern wash.,1186
eastern washington,1186
EasternIllinois,1183
eastern-illinois,1183
EasternKentucky,1184
eastern-kentucky,1184
EasternMichigan,1185
eastern-michigan,1185
eastern-washington,1186
east-tennessee-state,1190
EastTennSt.,1190
edwardsville,1188
elon,1189
elon university,1189
estern carolina,1441
ETennesseeSt,1190
etsu,1190
evansville,1191
f dickinson,1192
FairDickinson,1192
fairfield,1193
fairleigh dickinson,1192
fairleigh-dickinson,1192
fgcu,1195
fiu,1198
