Season,Date,Team1,Team2,Home_Team,Favorite,Line,Team1_Score,Team2_Score,OU,is_neutral,MoV,TeamID1,TeamID2
2008,1105,Maine,Richmond,None,Richmond,5.5,42.0,44.0,127.5,1,-2.0,1263,1350
2008,1105,TennMartin,MemphisU,MemphisU,MemphisU,35.5,71.0,102.0,144,0,-31.0,1404,1272
2008,1106,GardnerWebb,AlabamaA&M,None,GardnerWebb,-3.0,69.0,55.0,139.5,1,14.0,1205,1105
2008,1106,CentralArkansas,Kentucky,Kentucky,Kentucky,26.5,40.0,67.0,134,0,-27.0,1146,1246
2008,1106,Maine,TennMartin,None,TennMartin,1.5,62.0,66.0,128,1,-4.0,1263,1404
2008,1106,Richmond,MemphisU,MemphisU,MemphisU,29.5,63.0,80.0,140.5,0,-17.0,1350,1272
2008,1107,AlabamaA&M,CentralArkansas,None,CentralArkansas,3.5,59.0,69.0,129,1,-10.0,1105,1146
2008,1107,GardnerWebb,Kentucky,Kentucky,Kentucky,26.5,84.0,68.0,132.5,0,16.0,1205,1246
2008,1108,Buffalo,Connecticut,Connecticut,Connecticut,19.0,57.0,82.0,143,0,-25.0,1138,1163
2008,1108,SanFrancisco,Oklahoma,Oklahoma,Oklahoma,17.5,55.0,71.0,131,0,-16.0,1362,1328
2008,1109,NewMexicoState,Ohio,Ohio,Ohio,3.5,72.0,80.0,151.5,0,-8.0,1308,1325
2008,1109,Fordham,Columbia,Columbia,Fordham,-5.0,79.0,61.0,124.5,0,18.0,1200,1162
2008,1109,Drexel,Pennsylvania,Pennsylvania,Drexel,-3.0,67.0,59.0,133.5,0,8.0,1180,1335
2008,1109,Butler,BallState,BallState,Butler,-10.5,61.0,45.0,113.5,0,16.0,1139,1123
2008,1109,FlaAtlantic,RhodeIsland,RhodeIsland,RhodeIsland,13.0,63.0,90.0,163.5,0,-27.0,1194,1348
2008,1109,ClevelandState,SouthFlorida,SouthFlorida,SouthFlorida,7.5,73.0,70.0,129,0,3.0,1156,1378
2008,1109,Brown,EasternMichigan,EasternMichigan,EasternMichigan,5.5,74.0,55.0,129,0,19.0,1135,1185
2008,1109,Temple,Tennessee,Tennessee,Tennessee,17.5,63.0,80.0,165,0,-17.0,1396,1397
2008,1109,Depaul,Creighton,Creighton,Creighton,3.0,62.0,74.0,124,0,-12.0,1177,1166
2008,1109,Troy,Alabama,Alabama,Alabama,17.0,72.0,84.0,153.5,0,-12.0,1407,1104
2008,1109,NewMexico,Colorado,Colorado,NewMexico,-1.0,54.0,47.0,158,0,7.0,1307,1160
2008,1109,Auburn,Tulane,Tulane,Tulane,2.5,62.0,77.0,148.5,0,-15.0,1120,1408
2008,1109,LoyolaMarymount,CalIrvine,CalIrvine,CalIrvine,9.5,61.0,74.0,130,0,-13.0,1258,1414
2008,1109,SanDiego,Hawaii,Hawaii,Hawaii,8.5,73.0,72.0,147,0,1.0,1360,1218
2008,1109,Massachusetts,CalPolySLO,None,Massachusetts,-5.5,90.0,64.0,156.5,1,26.0,1269,1142
2008,1109,NoIllinois,NorthernIowa,NorthernIowa,NorthernIowa,14.0,45.0,75.0,130,0,-30.0,1296,1320
2008,1109,WesternCarolina,BowlingGreen,None,WesternCarolina,-1.0,63.0,60.0,144,1,3.0,1441,1132
2008,1109,Belmont,Cincinnati,Cincinnati,Cincinnati,8.0,86.0,75.0,137.5,0,11.0,1125,1153
2008,1109,VMI,NorthernColorado,None,VMI,-5.0,97.0,104.0,180,1,-7.0,1440,1294
2008,1109,Dartmouth,AirForce,AirForce,AirForce,15.0,38.0,67.0,114.5,0,-29.0,1171,1102
2008,1109,NorthwesternSt,CalSantaBarb,None,CalSantaBarb,4.0,71.0,92.0,147,1,-21.0,1322,1364
2008,1109,Harvard,Stanford,Stanford,Stanford,24.0,56.0,111.0,148,0,-55.0,1217,1390
2008,1109,Liberty,SanDiegoState,None,SanDiegoState,7.5,50.0,62.0,143.5,1,-12.0,1251,1361
2008,1109,PortlandU,FresnoState,FresnoState,FresnoState,14.0,68.0,75.0,130.5,0,-7.0,1339,1201
2008,1109,NCGreensboro,GeorgiaTech,GeorgiaTech,GeorgiaTech,16.0,83.0,74.0,142.5,0,9.0,1422,1210
2008,1109,TennesseeTech,Rutgers,Rutgers,Rutgers,8.0,64.0,70.0,134,0,-6.0,1399,1353
2008,1109,Elon,VirginiaTech,VirginiaTech,VirginiaTech,18.5,64.0,69.0,129.5,0,-5.0,1189,1439
2008,1109,Siena,JamesMadison,JamesMadison,Siena,-2.5,88.0,100.0,146.5,0,-12.0,1373,1241
2008,1109,Fairfield,WakeForest,WakeForest,WakeForest,12.5,60.0,85.0,138.5,0,-25.0,1193,1448
2008,1109,LoyolaMaryland,TowsonState,TowsonState,LoyolaMaryland,-3.0,69.0,83.0,143,0,-14.0,1259,1406
2008,1109,SacramentoState,KansasState,KansasState,KansasState,22.0,63.0,94.0,151.5,0,-31.0,1170,1243
2008,1109,Wofford,Arkansas,Arkansas,Arkansas,23.0,45.0,67.0,146,0,-22.0,1459,1116
2008,1109,MoreheadState,HoustonU,HoustonU,HoustonU,24.0,54.0,83.0,134,0,-29.0,1287,1222
2008,1109,ColoradoState,Montana,Montana,Montana,9.0,39.0,75.0,142.5,0,-36.0,1161,1285
2008,1109,IdahoState,Iowa,Iowa,Iowa,13.5,43.0,58.0,120,0,-15.0,1226,1234
2008,1109,JacksonvilleSt,Georgia,Georgia,Georgia,20.5,65.0,107.0,145.5,0,-42.0,1240,1208
2008,1109,E.Washington,WashingtonState,WashingtonState,WashingtonState,26.5,41.0,68.0,141,0,-27.0,1186,1450
2008,1109,MontanaState,UNLV,UNLV,UNLV,16.0,65.0,76.0,139,0,-11.0,1286,1424
2008,1109,PortlandState,UCLA,UCLA,UCLA,22.0,48.0,69.0,142,0,-21.0,1340,1417
2008,1110,William&Mary,Georgetown,Georgetown,Georgetown,22.5,53.0,68.0,122,0,-15.0,1456,1207
2008,1110,CalRiverside,TexasTech,TexasTech,TexasTech,21.0,56.0,68.0,135.5,0,-12.0,1415,1403
2008,1110,BYU,LongBeachState,LongBeachState,BYU,-9.0,74.0,34.0,148,0,40.0,1140,1253
2008,1110,MissouriSt,Toledo,Toledo,MissouriSt,-3.0,53.0,57.0,138.5,0,-4.0,1283,1405
2008,1110,UAB,GeorgiaState,GeorgiaState,UAB,-11.0,86.0,63.0,128.5,0,23.0,1412,1209
2008,1110,KentState,DetroitU,DetroitU,KentState,-4.0,60.0,61.0,126,0,-1.0,1245,1178
2008,1110,Bradley,IllinoisChicago,IllinoisChicago,Bradley,-6.0,75.0,84.0,146.5,0,-9.0,1133,1228
2008,1110,LouisianaTech,MississippiSt,MississippiSt,MississippiSt,22.5,45.0,75.0,143,0,-30.0,1256,1280
2008,1110,Drake,SaintMarysCA,SaintMarysCA,SaintMarysCA,11.5,66.0,72.0,143,0,-6.0,1179,1388
2008,1110,Belmont,BowlingGreen,None,Belmont,-6.0,67.0,78.0,139,1,-11.0,1125,1132
2008,1110,WesternCarolina,Cincinnati,Cincinnati,Cincinnati,8.5,64.0,66.0,135,0,-2.0,1441,1153
2008,1110,NoIllinois,Massachusetts,None,Massachusetts,14.0,87.0,102.0,149,1,-15.0,1296,1269
2008,1110,CalPolySLO,NorthernIowa,NorthernIowa,NorthernIowa,14.0,55.0,62.0,137,0,-7.0,1142,1320
